DataType,Date,Station id,Value,Station name,Latitude,Longitude
WSF2,2017-08-20,GHCND:USW00012926,19.9,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
WSF2,2017-08-20,GHCND:USW00012972,17.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
WSF2,2017-08-20,GHCND:USW00012946,21.0,"CORPUS CHRISTI CABANISS FIELD NAVAL OUTLYING FIELD, TX US",27.7,-97.43333
WSF2,2017-08-21,GHCND:USW00012926,19.9,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
WSF2,2017-08-21,GHCND:USW00012972,18.1,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
WSF2,2017-08-21,GHCND:USW00012946,17.0,"CORPUS CHRISTI CABANISS FIELD NAVAL OUTLYING FIELD, TX US",27.7,-97.43333
WSF2,2017-08-22,GHCND:USW00012926,18.1,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
WSF2,2017-08-22,GHCND:USW00012972,17.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
WSF2,2017-08-22,GHCND:USW00012946,19.9,"CORPUS CHRISTI CABANISS FIELD NAVAL OUTLYING FIELD, TX US",27.7,-97.43333
WSF2,2017-08-23,GHCND:USW00012926,21.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
WSF2,2017-08-23,GHCND:USW00012972,19.9,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
WSF2,2017-08-24,GHCND:USW00012972,25.1,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
WSF2,2017-08-24,GHCND:USW00012926,30.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
WSF2,2017-08-25,GHCND:USW00012972,48.1,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
WSF2,2017-08-26,GHCND:USW00012926,46.1,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
WSF2,2017-08-27,GHCND:USW00012926,36.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
WSF2,2017-08-28,GHCND:USW00012926,36.9,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
WSF2,2017-08-29,GHCND:USW00012926,29.1,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
WSF2,2017-08-29,GHCND:USW00012972,28.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
WSF2,2017-08-30,GHCND:USW00012972,8.9,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
WSF2,2017-08-30,GHCND:USW00012926,14.1,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
WSF2,2017-08-31,GHCND:USW00012926,14.1,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
