DataType,Date,Station id,Value,Station name,Latitude,Longitude
AWND,2017-08-20,GHCND:USW00012926,11.6,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
AWND,2017-08-20,GHCND:USW00012972,10.1,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
AWND,2017-08-20,GHCND:USW00012946,8.9,"CORPUS CHRISTI CABANISS FIELD NAVAL OUTLYING FIELD, TX US",27.7,-97.43333
AWND,2017-08-21,GHCND:USW00012946,8.9,"CORPUS CHRISTI CABANISS FIELD NAVAL OUTLYING FIELD, TX US",27.7,-97.43333
AWND,2017-08-21,GHCND:USW00012926,11.6,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
AWND,2017-08-21,GHCND:USW00012972,10.7,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
AWND,2017-08-22,GHCND:USW00012946,8.1,"CORPUS CHRISTI CABANISS FIELD NAVAL OUTLYING FIELD, TX US",27.7,-97.43333
AWND,2017-08-22,GHCND:USW00012972,8.9,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
AWND,2017-08-22,GHCND:USW00012926,9.8,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
AWND,2017-08-23,GHCND:USW00012926,8.7,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
AWND,2017-08-23,GHCND:USW00012972,9.4,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
AWND,2017-08-24,GHCND:USW00012926,12.5,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
AWND,2017-08-24,GHCND:USW00012972,12.1,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
AWND,2017-08-25,GHCND:USW00012972,25.3,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
AWND,2017-08-26,GHCND:USW00012926,23.3,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
AWND,2017-08-27,GHCND:USW00012926,22.8,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
AWND,2017-08-28,GHCND:USW00012926,28.2,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
AWND,2017-08-30,GHCND:USW00012972,8.1,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
