DataType,Date,Station id,Value,Station name,Latitude,Longitude
TMAX,2017-08-20,GHCND:USW00012926,94.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
TMAX,2017-08-20,GHCND:USC00417176,89.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
TMAX,2017-08-20,GHCND:USW00023906,92.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMAX,2017-08-20,GHCND:USW00012972,94.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
TMAX,2017-08-20,GHCND:USW00012946,95.0,"CORPUS CHRISTI CABANISS FIELD NAVAL OUTLYING FIELD, TX US",27.7,-97.43333
TMAX,2017-08-21,GHCND:USC00417176,89.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
TMAX,2017-08-21,GHCND:USW00012972,93.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
TMAX,2017-08-21,GHCND:USW00012946,93.0,"CORPUS CHRISTI CABANISS FIELD NAVAL OUTLYING FIELD, TX US",27.7,-97.43333
TMAX,2017-08-21,GHCND:USW00023906,91.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMAX,2017-08-21,GHCND:USW00012926,94.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
TMAX,2017-08-22,GHCND:USW00012946,94.0,"CORPUS CHRISTI CABANISS FIELD NAVAL OUTLYING FIELD, TX US",27.7,-97.43333
TMAX,2017-08-22,GHCND:USW00012972,94.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
TMAX,2017-08-22,GHCND:USW00023906,92.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMAX,2017-08-22,GHCND:USC00417176,88.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
TMAX,2017-08-22,GHCND:USW00012926,94.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
TMAX,2017-08-23,GHCND:USC00417176,88.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
TMAX,2017-08-23,GHCND:USW00012926,95.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
TMAX,2017-08-23,GHCND:USW00023906,93.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMAX,2017-08-24,GHCND:USW00012926,94.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
TMAX,2017-08-24,GHCND:USW00012972,93.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
TMAX,2017-08-24,GHCND:USC00417176,88.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
TMAX,2017-08-24,GHCND:USW00023906,93.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMAX,2017-08-25,GHCND:USW00023906,81.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMAX,2017-08-25,GHCND:USC00417176,88.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
TMAX,2017-08-26,GHCND:USW00023906,80.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMAX,2017-08-26,GHCND:USW00012926,85.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
TMAX,2017-08-27,GHCND:USW00023906,80.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMAX,2017-08-27,GHCND:USW00012926,88.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
TMAX,2017-08-28,GHCND:USW00012926,84.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
TMAX,2017-08-28,GHCND:USW00023906,76.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMAX,2017-08-29,GHCND:USW00023906,89.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMAX,2017-08-30,GHCND:USW00023906,94.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMAX,2017-08-31,GHCND:USW00023906,94.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
