DataType,Date,Station id,Value,Station name,Latitude,Longitude
TMIN,2017-08-20,GHCND:USW00012926,80.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
TMIN,2017-08-20,GHCND:USC00417176,78.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
TMIN,2017-08-20,GHCND:USW00012972,79.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
TMIN,2017-08-20,GHCND:USW00012946,77.0,"CORPUS CHRISTI CABANISS FIELD NAVAL OUTLYING FIELD, TX US",27.7,-97.43333
TMIN,2017-08-20,GHCND:USW00023906,71.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMIN,2017-08-21,GHCND:USW00012926,81.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
TMIN,2017-08-21,GHCND:USW00023906,77.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMIN,2017-08-21,GHCND:USC00417176,80.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
TMIN,2017-08-21,GHCND:USW00012946,79.0,"CORPUS CHRISTI CABANISS FIELD NAVAL OUTLYING FIELD, TX US",27.7,-97.43333
TMIN,2017-08-21,GHCND:USW00012972,83.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
TMIN,2017-08-22,GHCND:USW00023906,70.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMIN,2017-08-22,GHCND:USW00012972,77.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
TMIN,2017-08-22,GHCND:USW00012946,77.0,"CORPUS CHRISTI CABANISS FIELD NAVAL OUTLYING FIELD, TX US",27.7,-97.43333
TMIN,2017-08-22,GHCND:USC00417176,79.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
TMIN,2017-08-22,GHCND:USW00012926,79.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
TMIN,2017-08-23,GHCND:USW00012926,79.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
TMIN,2017-08-23,GHCND:USW00012972,76.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
TMIN,2017-08-23,GHCND:USC00417176,78.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
TMIN,2017-08-23,GHCND:USW00023906,69.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMIN,2017-08-24,GHCND:USW00012972,78.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
TMIN,2017-08-24,GHCND:USC00417176,78.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
TMIN,2017-08-24,GHCND:USW00012926,81.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
TMIN,2017-08-24,GHCND:USW00023906,75.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMIN,2017-08-25,GHCND:USC00417176,75.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
TMIN,2017-08-25,GHCND:USW00023906,74.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMIN,2017-08-26,GHCND:USW00023906,75.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMIN,2017-08-26,GHCND:USW00012926,77.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
TMIN,2017-08-27,GHCND:USW00012926,74.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
TMIN,2017-08-27,GHCND:USW00023906,73.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMIN,2017-08-28,GHCND:USW00023906,72.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMIN,2017-08-28,GHCND:USW00012926,72.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
TMIN,2017-08-29,GHCND:USW00023906,72.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMIN,2017-08-30,GHCND:USW00023906,68.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
TMIN,2017-08-31,GHCND:USW00023906,68.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
