DataType,Date,Station id,Value,Station name,Latitude,Longitude
PRCP,2017-08-20,GHCND:US1TXSP0018,0.0,"PORTLAND 1.3 NW, TX US",27.892892,-97.340161
PRCP,2017-08-20,GHCND:US1TXNU0010,0.0,"FLOUR BLUFF 1.6 SW, TX US",27.661316,-97.303112
PRCP,2017-08-20,GHCND:USW00012926,0.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
PRCP,2017-08-20,GHCND:USC00417176,0.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
PRCP,2017-08-20,GHCND:USW00012972,0.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
PRCP,2017-08-20,GHCND:US1TXNU0007,0.0,"CORPUS CHRISTI 9.0 SSE, TX US",27.590507,-97.224739
PRCP,2017-08-20,GHCND:USW00012946,0.0,"CORPUS CHRISTI CABANISS FIELD NAVAL OUTLYING FIELD, TX US",27.7,-97.43333
PRCP,2017-08-20,GHCND:US1TXNU0061,0.0,"CORPUS CHRISTI 6.9 SE, TX US",27.625833,-97.226111
PRCP,2017-08-20,GHCND:USW00023906,0.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
PRCP,2017-08-20,GHCND:US1TXAR0006,0.0,"ROCKPORT 3.0 NNW, TX US",28.082497,-97.062612
PRCP,2017-08-20,GHCND:US1TXAR0008,0.0,"ARANSAS PASS 6.1 NNW, TX US",27.972687,-97.134913
PRCP,2017-08-21,GHCND:US1TXNU0007,0.0,"CORPUS CHRISTI 9.0 SSE, TX US",27.590507,-97.224739
PRCP,2017-08-21,GHCND:US1TXAR0008,0.0,"ARANSAS PASS 6.1 NNW, TX US",27.972687,-97.134913
PRCP,2017-08-21,GHCND:USC00417176,0.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
PRCP,2017-08-21,GHCND:USW00012972,0.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
PRCP,2017-08-21,GHCND:US1TXAR0006,0.0,"ROCKPORT 3.0 NNW, TX US",28.082497,-97.062612
PRCP,2017-08-21,GHCND:USW00012946,0.0,"CORPUS CHRISTI CABANISS FIELD NAVAL OUTLYING FIELD, TX US",27.7,-97.43333
PRCP,2017-08-21,GHCND:USW00023906,0.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
PRCP,2017-08-21,GHCND:US1TXSP0018,0.0,"PORTLAND 1.3 NW, TX US",27.892892,-97.340161
PRCP,2017-08-21,GHCND:US1TXNU0010,0.0,"FLOUR BLUFF 1.6 SW, TX US",27.661316,-97.303112
PRCP,2017-08-21,GHCND:US1TXNU0075,0.0,"CORPUS CHRISTI 8.3 SSE, TX US",27.59483,-97.23969
PRCP,2017-08-21,GHCND:USW00012926,0.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
PRCP,2017-08-21,GHCND:US1TXNU0061,0.0,"CORPUS CHRISTI 6.9 SE, TX US",27.625833,-97.226111
PRCP,2017-08-22,GHCND:US1TXAR0006,0.0,"ROCKPORT 3.0 NNW, TX US",28.082497,-97.062612
PRCP,2017-08-22,GHCND:USW00012926,0.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
PRCP,2017-08-22,GHCND:US1TXNU0061,0.0,"CORPUS CHRISTI 6.9 SE, TX US",27.625833,-97.226111
PRCP,2017-08-22,GHCND:USW00023906,0.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
PRCP,2017-08-22,GHCND:US1TXNU0010,0.0,"FLOUR BLUFF 1.6 SW, TX US",27.661316,-97.303112
PRCP,2017-08-22,GHCND:USW00012972,0.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
PRCP,2017-08-22,GHCND:US1TXNU0007,0.0,"CORPUS CHRISTI 9.0 SSE, TX US",27.590507,-97.224739
PRCP,2017-08-22,GHCND:USC00417176,0.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
PRCP,2017-08-22,GHCND:USW00012946,0.0,"CORPUS CHRISTI CABANISS FIELD NAVAL OUTLYING FIELD, TX US",27.7,-97.43333
PRCP,2017-08-22,GHCND:US1TXSP0018,0.02,"PORTLAND 1.3 NW, TX US",27.892892,-97.340161
PRCP,2017-08-22,GHCND:US1TXAR0008,0.0,"ARANSAS PASS 6.1 NNW, TX US",27.972687,-97.134913
PRCP,2017-08-23,GHCND:USW00012926,0.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
PRCP,2017-08-23,GHCND:USW00012972,0.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
PRCP,2017-08-23,GHCND:US1TXAR0006,0.0,"ROCKPORT 3.0 NNW, TX US",28.082497,-97.062612
PRCP,2017-08-23,GHCND:US1TXNU0061,0.0,"CORPUS CHRISTI 6.9 SE, TX US",27.625833,-97.226111
PRCP,2017-08-23,GHCND:US1TXSP0018,0.0,"PORTLAND 1.3 NW, TX US",27.892892,-97.340161
PRCP,2017-08-23,GHCND:USW00023906,0.0,"PORT ARANSAS 32 NNE, TX US",28.3045,-96.823
PRCP,2017-08-23,GHCND:USC00417176,0.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
PRCP,2017-08-23,GHCND:US1TXNU0010,0.0,"FLOUR BLUFF 1.6 SW, TX US",27.661316,-97.303112
PRCP,2017-08-23,GHCND:US1TXNU0007,0.0,"CORPUS CHRISTI 9.0 SSE, TX US",27.590507,-97.224739
PRCP,2017-08-23,GHCND:US1TXAR0008,0.0,"ARANSAS PASS 6.1 NNW, TX US",27.972687,-97.134913
PRCP,2017-08-24,GHCND:US1TXSP0018,0.0,"PORTLAND 1.3 NW, TX US",27.892892,-97.340161
PRCP,2017-08-24,GHCND:USC00417176,0.0,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158
PRCP,2017-08-24,GHCND:US1TXAR0006,0.0,"ROCKPORT 3.0 NNW, TX US",28.082497,-97.062612
PRCP,2017-08-24,GHCND:US1TXNU0007,0.0,"CORPUS CHRISTI 9.0 SSE, TX US",27.590507,-97.224739
PRCP,2017-08-24,GHCND:US1TXAR0008,0.11,"ARANSAS PASS 6.1 NNW, TX US",27.972687,-97.134913
PRCP,2017-08-24,GHCND:USW00012972,0.2,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
