DataType,Date,Station id,Value,Station name,Latitude,Longitude
TMAX,2017-09-05,GHCND:USR0000FCHE,92.0,"CHEKIKA FLORIDA, FL US",25.625,-80.5797
TMAX,2017-09-05,GHCND:USR0000FRAC,91.0,"RACCOON POINT FLORIDA, FL US",25.9708,-80.9
TMAX,2017-09-05,GHCND:USR0000FOAS,96.0,"OASIS FLORIDA, FL US",25.85,-81.03
TMAX,2017-09-05,GHCND:USW00092826,97.0,"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183
TMAX,2017-09-05,GHCND:USC00087760,98.0,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
TMAX,2017-09-05,GHCND:USR0000FCAC,94.0,"CACHE FLORIDA, FL US",25.3903,-80.6803
TMAX,2017-09-05,GHCND:USC00085359,93.0,"MARCO ISLAND, FL US",25.9491,-81.7138
TMAX,2017-09-05,GHCND:USC00086078,94.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-05,GHCND:USC00086078,94.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-05,GHCND:USC00086078,94.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-05,GHCND:USC00086078,94.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-05,GHCND:USC00086078,94.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-05,GHCND:USC00086078,94.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-05,GHCND:USR0000FOCH,95.0,"OCHOPEE FLORIDA, FL US",25.9167,-81.2833
TMAX,2017-09-05,GHCND:USW00012897,92.0,"NAPLES MUNICIPAL AIRPORT, FL US",26.155,-81.7752
TMAX,2017-09-05,GHCND:USC00086078,94.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-05,GHCND:USC00086078,94.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-05,GHCND:USC00086078,94.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-05,GHCND:USW00012888,93.0,"MIAMI KENDALL TAMIAMI EXEC AIRPORT, FL US",25.6475,-80.43306
TMAX,2017-09-06,GHCND:USC00086078,94.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-06,GHCND:USW00012897,90.0,"NAPLES MUNICIPAL AIRPORT, FL US",26.155,-81.7752
TMAX,2017-09-06,GHCND:USR0000FRAC,92.0,"RACCOON POINT FLORIDA, FL US",25.9708,-80.9
TMAX,2017-09-06,GHCND:USC00086078,94.0,"NAPLES, FL US",26.1653,-81.6843
TMAX,2017-09-06,GHCND:USW00092826,94.0,"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183
