DataType,Date,Station id,Value,Station name,Latitude,Longitude
TMIN,2017-09-05,GHCND:USR0000FCHE,82.0,"CHEKIKA FLORIDA, FL US",25.625,-80.5797
TMIN,2017-09-05,GHCND:USR0000FRAC,75.0,"RACCOON POINT FLORIDA, FL US",25.9708,-80.9
TMIN,2017-09-05,GHCND:USR0000FOAS,78.0,"OASIS FLORIDA, FL US",25.85,-81.03
TMIN,2017-09-05,GHCND:USW00092826,77.0,"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183
TMIN,2017-09-05,GHCND:USC00087760,76.0,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
TMIN,2017-09-05,GHCND:USR0000FCAC,77.0,"CACHE FLORIDA, FL US",25.3903,-80.6803
TMIN,2017-09-05,GHCND:USC00085359,77.0,"MARCO ISLAND, FL US",25.9491,-81.7138
TMIN,2017-09-05,GHCND:USC00086078,74.0,"NAPLES, FL US",26.1653,-81.6843
TMIN,2017-09-05,GHCND:USC00086078,74.0,"NAPLES, FL US",26.1653,-81.6843
TMIN,2017-09-05,GHCND:USC00086078,74.0,"NAPLES, FL US",26.1653,-81.6843
TMIN,2017-09-05,GHCND:USC00086078,74.0,"NAPLES, FL US",26.1653,-81.6843
TMIN,2017-09-05,GHCND:USC00086078,74.0,"NAPLES, FL US",26.1653,-81.6843
TMIN,2017-09-05,GHCND:USC00086078,74.0,"NAPLES, FL US",26.1653,-81.6843
TMIN,2017-09-05,GHCND:USR0000FOCH,78.0,"OCHOPEE FLORIDA, FL US",25.9167,-81.2833
TMIN,2017-09-05,GHCND:USW00012897,77.0,"NAPLES MUNICIPAL AIRPORT, FL US",26.155,-81.7752
TMIN,2017-09-05,GHCND:USC00086078,74.0,"NAPLES, FL US",26.1653,-81.6843
TMIN,2017-09-05,GHCND:USC00086078,74.0,"NAPLES, FL US",26.1653,-81.6843
TMIN,2017-09-05,GHCND:USC00086078,74.0,"NAPLES, FL US",26.1653,-81.6843
TMIN,2017-09-05,GHCND:USW00012888,79.0,"MIAMI KENDALL TAMIAMI EXEC AIRPORT, FL US",25.6475,-80.43306
TMIN,2017-09-06,GHCND:USC00086078,72.0,"NAPLES, FL US",26.1653,-81.6843
TMIN,2017-09-06,GHCND:USW00012897,76.0,"NAPLES MUNICIPAL AIRPORT, FL US",26.155,-81.7752
TMIN,2017-09-06,GHCND:USR0000FRAC,79.0,"RACCOON POINT FLORIDA, FL US",25.9708,-80.9
TMIN,2017-09-06,GHCND:USC00086078,72.0,"NAPLES, FL US",26.1653,-81.6843
