DataType,Date,Station id,Value,Station name,Latitude,Longitude
TMAX,2017-09-15,GHCND:RQC00662801,90.0,"COLOSO, US",18.3808,-67.1569
TMAX,2017-09-15,GHCND:RQC00660158,81.0,"AIBONITO 1 S, US",18.128,-66.2641
TMAX,2017-09-15,GHCND:RQC00665908,78.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMAX,2017-09-15,GHCND:RQC00663431,92.0,"DOS BOCAS, US",18.3361,-66.6666
TMAX,2017-09-16,GHCND:RQC00662801,91.0,"COLOSO, US",18.3808,-67.1569
TMAX,2017-09-16,GHCND:RQC00660158,82.0,"AIBONITO 1 S, US",18.128,-66.2641
TMAX,2017-09-16,GHCND:RQC00665908,84.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMAX,2017-09-16,GHCND:RQC00663431,90.0,"DOS BOCAS, US",18.3361,-66.6666
TMAX,2017-09-17,GHCND:RQC00662801,90.0,"COLOSO, US",18.3808,-67.1569
TMAX,2017-09-17,GHCND:RQC00665908,82.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMAX,2017-09-17,GHCND:RQC00660158,83.0,"AIBONITO 1 S, US",18.128,-66.2641
TMAX,2017-09-17,GHCND:RQC00663431,91.0,"DOS BOCAS, US",18.3361,-66.6666
TMAX,2017-09-18,GHCND:RQC00665908,83.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMAX,2017-09-18,GHCND:RQC00663431,90.0,"DOS BOCAS, US",18.3361,-66.6666
TMAX,2017-09-18,GHCND:RQC00660158,81.0,"AIBONITO 1 S, US",18.128,-66.2641
TMAX,2017-09-18,GHCND:RQC00662801,91.0,"COLOSO, US",18.3808,-67.1569
TMAX,2017-09-19,GHCND:RQC00663431,90.0,"DOS BOCAS, US",18.3361,-66.6666
TMAX,2017-09-19,GHCND:RQC00660158,82.0,"AIBONITO 1 S, US",18.128,-66.2641
TMAX,2017-09-19,GHCND:RQC00662801,92.0,"COLOSO, US",18.3808,-67.1569
TMAX,2017-09-19,GHCND:RQC00665908,81.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMAX,2017-09-20,GHCND:RQC00663431,86.0,"DOS BOCAS, US",18.3361,-66.6666
TMAX,2017-09-20,GHCND:RQC00665908,79.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMAX,2017-09-21,GHCND:RQC00665908,80.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMAX,2017-09-22,GHCND:RQC00665908,79.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMAX,2017-09-23,GHCND:RQC00665908,79.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMAX,2017-09-24,GHCND:RQC00665908,75.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMAX,2017-09-25,GHCND:RQC00665908,79.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMAX,2017-09-26,GHCND:RQC00665908,81.0,"MARICAO 2 SSW, US",18.1511,-66.9888
