DataType,Date,Station id,Value,Station name,Latitude,Longitude
TMIN,2017-09-15,GHCND:RQC00662801,74.0,"COLOSO, US",18.3808,-67.1569
TMIN,2017-09-15,GHCND:RQC00660158,67.0,"AIBONITO 1 S, US",18.128,-66.2641
TMIN,2017-09-15,GHCND:RQC00665908,69.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMIN,2017-09-15,GHCND:RQC00663431,74.0,"DOS BOCAS, US",18.3361,-66.6666
TMIN,2017-09-16,GHCND:RQC00662801,73.0,"COLOSO, US",18.3808,-67.1569
TMIN,2017-09-16,GHCND:RQC00660158,68.0,"AIBONITO 1 S, US",18.128,-66.2641
TMIN,2017-09-16,GHCND:RQC00665908,66.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMIN,2017-09-16,GHCND:RQC00663431,72.0,"DOS BOCAS, US",18.3361,-66.6666
TMIN,2017-09-17,GHCND:RQC00662801,73.0,"COLOSO, US",18.3808,-67.1569
TMIN,2017-09-17,GHCND:RQC00665908,68.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMIN,2017-09-17,GHCND:RQC00660158,69.0,"AIBONITO 1 S, US",18.128,-66.2641
TMIN,2017-09-17,GHCND:RQC00663431,73.0,"DOS BOCAS, US",18.3361,-66.6666
TMIN,2017-09-18,GHCND:RQC00665908,67.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMIN,2017-09-18,GHCND:RQC00663431,73.0,"DOS BOCAS, US",18.3361,-66.6666
TMIN,2017-09-18,GHCND:RQC00660158,70.0,"AIBONITO 1 S, US",18.128,-66.2641
TMIN,2017-09-18,GHCND:RQC00662801,74.0,"COLOSO, US",18.3808,-67.1569
TMIN,2017-09-19,GHCND:RQC00663431,73.0,"DOS BOCAS, US",18.3361,-66.6666
TMIN,2017-09-19,GHCND:RQC00660158,70.0,"AIBONITO 1 S, US",18.128,-66.2641
TMIN,2017-09-19,GHCND:RQC00662801,75.0,"COLOSO, US",18.3808,-67.1569
TMIN,2017-09-19,GHCND:RQC00665908,68.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMIN,2017-09-20,GHCND:RQC00663431,74.0,"DOS BOCAS, US",18.3361,-66.6666
TMIN,2017-09-20,GHCND:RQC00665908,67.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMIN,2017-09-21,GHCND:RQC00665908,68.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMIN,2017-09-22,GHCND:RQC00665908,66.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMIN,2017-09-23,GHCND:RQC00665908,67.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMIN,2017-09-24,GHCND:RQC00665908,68.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMIN,2017-09-25,GHCND:RQC00665908,68.0,"MARICAO 2 SSW, US",18.1511,-66.9888
TMIN,2017-09-26,GHCND:RQC00665908,67.0,"MARICAO 2 SSW, US",18.1511,-66.9888
