AdvisoryNumber,Date,,Lat,Long,Wind,Pres,Movement,Type,Name,Received,Forecaster
1,6/1/2020 0:00,5:00:00 PM,19.6,91.2,30,1007,WNW at 7 MPH (290 deg),Tropical Depression,THREE,6/1/2020 16:54,Brown
1A,6/1/2020 0:00,8:00:00 PM,19.6,91.6,30,1005,WNW at 7 MPH (285 deg),Tropical Depression,THREE,6/1/2020 19:46,Beven
2,6/1/2020 0:00,11:00:00 PM,19.6,91.9,30,1005,W at 7 MPH (270 deg),Tropical Depression,THREE,6/1/2020 22:36,Beven
2A,6/2/2020 0:00,2:00:00 AM,19.6,92,35,1003,W at 5 MPH (270 deg),Tropical Depression,THREE,6/2/2020 2:00,Stewart
3,6/2/2020 0:00,5:00:00 AM,19.6,92.1,35,1003,W at 2 MPH (270 deg),Tropical Depression,THREE,6/2/2020 4:57,Stewart
3A,6/2/2020 0:00,8:00:00 AM,19.6,92.4,35,1003,W at 3 MPH (270 deg),Tropical Depression,THREE,6/2/2020 7:54,Pasch
4,6/2/2020 0:00,11:00:00 AM,19.5,92.6,35,1005,W at 3 MPH (270 deg),Tropical Depression,THREE,6/2/2020 11:15,Pasch
4A,6/2/2020 0:00,2:00:00 PM,19.2,92.8,40,1004,SW at 3 MPH (220 deg),Tropical Storm,Cristobal,6/2/2020 13:52,Pasch
5,6/2/2020 0:00,5:00:00 PM,19.1,92.5,40,1004,S at 3 MPH (170 deg),Tropical Storm,Cristobal,6/2/2020 16:48,Pasch
5A,6/2/2020 0:00,8:00:00 PM,19.1,92.3,45,997,S at 3 MPH (170 deg),Tropical Storm,Cristobal,6/2/2020 20:04,Brown/zelinsky
6,6/2/2020 0:00,11:00:00 PM,19.1,92.3,50,996,S at 1 MPH (180 deg),Tropical Storm,Cristobal,6/2/2020 22:46,Brown
9,6/3/2020 0:00,5:00:00 PM,18.3,91.8,50,995,SE at 3 MPH (135 deg),Tropical Storm,Cristobal,6/3/2020 17:00,Pasch
9A,6/3/2020 0:00,8:00:00 PM,18.3,91.8,45,995,Stationary,Tropical Storm,Cristobal,6/3/2020 19:42,Brown
10,6/3/2020 0:00,11:00:00 PM,18.3,91.8,45,995,Stationary,Tropical Storm,Cristobal,6/3/2020 22:45,Brown
11,6/4/2020 0:00,5:00:00 AM,17.9,91.3,40,998,SE at 2 MPH (125 deg),Tropical Storm,Cristobal,6/4/2020 4:51,Beven
11A,6/4/2020 0:00,8:00:00 AM,17.8,91.2,40,998,SE at 2 MPH (125 deg),Tropical Storm,Cristobal,6/4/2020 7:33,Pasch
12,6/4/2020 0:00,11:00:00 AM,17.6,91,35,998,ESE at 3 MPH (120 deg),Tropical Depression,CRISTOBAL,6/4/2020 10:54,Pasch
13,6/4/2020 0:00,5:00:00 PM,17.5,90.8,35,999,ESE at 3 MPH (110 deg),Tropical Depression,CRISTOBAL,6/4/2020 16:45,Pasch
14,6/4/2020 0:00,11:00:00 PM,17.8,90.4,35,1000,E at 3 MPH (90 deg),Tropical Depression,CRISTOBAL,6/4/2020 22:36,Cangialosi
15,6/5/2020 0:00,5:00:00 AM,18.8,90.1,35,1000,NNE at 7 MPH (20 deg),Tropical Depression,CRISTOBAL,6/5/2020 4:45,Zelinsky
16A,6/5/2020 0:00,2:00:00 PM,20.5,89.8,40,1000,N at 12 MPH (360 deg),Tropical Storm,Cristobal,6/5/2020 13:51,Pasch
17,6/5/2020 0:00,5:00:00 PM,21.4,89.7,40,1000,N at 13 MPH (10 deg),Tropical Storm,Cristobal,6/5/2020 16:54,Pasch/berg
17A,6/5/2020 0:00,8:00:00 PM,22.2,89.9,40,998,N at 13 MPH (10 deg),Tropical Storm,Cristobal,6/5/2020 19:48,Cangialosi/latto
18,6/5/2020 0:00,11:00:00 PM,22.7,90.1,45,998,N at 14 MPH (360 deg),Tropical Storm,Cristobal,6/5/2020 22:39,Cangialosi/latto
19,6/6/2020 0:00,5:00:00 AM,23.8,90.2,45,997,N at 14 MPH (350 deg),Tropical Storm,Cristobal,6/6/2020 4:45,Beven
19A,6/6/2020 0:00,8:00:00 AM,23.9,90.2,50,992,N at 12 MPH (360 deg),Tropical Storm,Cristobal,6/6/2020 8:03,Pasch
20,6/6/2020 0:00,11:00:00 AM,24.2,90.1,50,994,N at 12 MPH (360 deg),Tropical Storm,Cristobal,6/6/2020 10:51,Pasch
20A,6/6/2020 0:00,2:00:00 PM,24.7,90.2,50,994,N at 12 MPH (360 deg),Tropical Storm,Cristobal,6/6/2020 13:36,Pasch
21,6/6/2020 0:00,5:00:00 PM,25.2,90.2,50,994,N at 12 MPH (360 deg),Tropical Storm,Cristobal,6/6/2020 16:48,Pasch
21A,6/6/2020 0:00,8:00:00 PM,25.7,90.2,50,993,N at 12 MPH (360 deg),Tropical Storm,Cristobal,6/6/2020 19:51,Cangialosi/latto
22,6/6/2020 0:00,11:00:00 PM,26.2,90.2,50,993,N at 12 MPH (360 deg),Tropical Storm,Cristobal,6/6/2020 22:43,Cangialosi/latto
22A,6/7/2020 0:00,2:00:00 AM,26.7,90.1,50,993,N at 12 MPH (360 deg),Tropical Storm,Cristobal,6/7/2020 1:54,Beven
23,6/7/2020 0:00,5:00:00 AM,27.3,90.1,50,993,N at 12 MPH (360 deg),Tropical Storm,Cristobal,6/7/2020 4:45,Beven
23A,6/7/2020 0:00,8:00:00 AM,28.2,89.9,50,994,N at 12 MPH (360 deg),Tropical Storm,Cristobal,6/7/2020 7:55,Stewart
24,6/7/2020 0:00,11:00:00 AM,28.7,90,50,994,N at 12 MPH (355 deg),Tropical Storm,Cristobal,6/7/2020 10:48,Stewart
24A,6/7/2020 0:00,2:00:00 PM,28.8,89.9,50,994,N at 5 MPH (360 deg),Tropical Storm,Cristobal,6/7/2020 13:56,Stewart
25,6/7/2020 0:00,5:00:00 PM,29.1,89.9,50,993,N at 7 MPH (355 deg),Tropical Storm,Cristobal,6/7/2020 16:42,Stewart
25A,6/7/2020 0:00,8:00:00 PM,29.6,89.8,50,993,N at 7 MPH (355 deg),Tropical Storm,Cristobal,6/7/2020 19:57,Brown/latto
26,6/7/2020 0:00,11:00:00 PM,30.3,90.2,45,993,NNW at 10 MPH (345 deg),Tropical Storm,Cristobal,6/7/2020 22:51,Brown
26A,6/8/2020 0:00,2:00:00 AM,30.4,90.5,40,994,NNW at 10 MPH (345 deg),Tropical Storm,Cristobal,6/8/2020 1:45,Beven
27,6/8/2020 0:00,5:00:00 AM,31,91.2,35,994,NNW at 10 MPH (330 deg),Tropical Depression,CRISTOBAL,6/8/2020 4:54,Beven
27A,6/8/2020 0:00,8:00:00 AM,31.8,91.6,35,994,NNW at 10 MPH (330 deg),Tropical Depression,CRISTOBAL,6/8/2020 7:48,Cangialosi/blake
28,6/8/2020 0:00,11:00:00 AM,32.5,91.8,35,995,NW at 15 MPH (325 deg),Tropical Depression,CRISTOBAL,6/8/2020 10:48,Cangialosi
29,6/8/2020 0:00,5:00:00 PM,34,92,35,994,N at 18 MPH (360 deg),Tropical Depression,CRISTOBAL,6/8/2020 16:56,Roth
30,6/8/2020 0:00,11:00:00 PM,34.8,92.4,30,994,NNW at 17 MPH (335 deg),Tropical Depression,CRISTOBAL,6/8/2020 22:46,Roth
