YY-MM-DD,UNIQUE STORM NAME,STATUS OF SYSTEM,LATITUDE,LONGITUDE,WIND SPEED,PRESSURE,SR,YEAR,MONTH,DATE,DDMM,JULIAN,START DATE,END DATE,DURATION,TYPE,DECADE
18510625,UNNAMED1851176, HU, 28.0N,  94.8W,80,-999,1,1851,6,25,6/25,176,18510625,18510628,4,Unnamed,1850
18510705,UNNAMED1851186, HU, 22.2N,  97.6W,80,-999,15,1851,7,5,7/5,186,18510705,18510705,1,Unnamed,1850
18510710,UNNAMED1851191, TS, 12.0N,  60.0W,50,-999,16,1851,7,10,7/10,191,18510710,18510710,1,Unnamed,1850
18510816,UNNAMED1851228, TS, 13.4N,  48.0W,40,-999,17,1851,8,16,8/16,228,18510816,18510827,12,Unnamed,1850
18510913,UNNAMED1851256, TS, 32.5N,  73.5W,50,-999,66,1851,9,13,9/13,256,18510913,18510916,4,Unnamed,1850
18511016,UNNAMED1851289, TS, 28.7N,  78.0W,40,-999,82,1851,10,16,10/16,289,18511016,18511019,4,Unnamed,1850
18520819,UNNAMED1852231, TS, 20.5N,  67.1W,60,-999,99,1852,8,19,8/19,231,18520819,18520830,12,Unnamed,1850
18520905,UNNAMED1852248, HU, 17.0N,  64.1W,70,-999,144,1852,9,5,9/5,248,18520905,18520906,2,Unnamed,1850
18520909,UNNAMED1852252, HU, 26.4N,  90.4W,70,-999,152,1852,9,9,9/9,252,18520909,18520913,5,Unnamed,1850
18520922,UNNAMED1852265, TS, 16.1N,  58.5W,50,-999,172,1852,9,22,9/22,265,18520922,18520930,9,Unnamed,1850
18521006,UNNAMED1852279, HU, 17.0N,  73.8W,90,-999,208,1852,10,6,10/6,279,18521006,18521011,6,Unnamed,1850
18530805,UNNAMED1853217, TS, 32.5N,  69.0W,50,-999,233,1853,8,5,8/5,217,18530805,18530805,1,Unnamed,1850
18530810,UNNAMED1853222, TS, 12.0N,  60.0W,40,-999,234,1853,8,10,8/10,222,18530810,18530810,1,Unnamed,1850
18530830,UNNAMED1853242, TS, 12.1N,  23.2W,40,-999,235,1853,8,30,8/30,242,18530830,18530910,81,Unnamed,1850
18530908,UNNAMED1853251, HU, 37.0N,  53.0W,100,-999,283,1853,9,8,9/8,251,18530908,18530910,3,Unnamed,1850
18530921,UNNAMED1853264, TS, 20.0N,  95.0W,50,-999,295,1853,9,21,9/21,264,18530921,18530921,1,Unnamed,1850
18530926,UNNAMED1853269, TS, 25.8N,  62.0W,50,-999,296,1853,9,26,9/26,269,18530926,18531001,76,Unnamed,1850
18530928,UNNAMED1853271, TS, 15.0N,  37.0W,50,-999,318,1853,9,28,9/28,271,18530928,18530928,1,Unnamed,1850
18531019,UNNAMED1853292, HU, 27.5N,  78.5W,70,-999,319,1853,10,19,10/19,292,18531019,18531022,4,Unnamed,1850
18540625,UNNAMED1854176, TS, 26.0N,  92.5W,60,-999,333,1854,6,25,6/25,176,18540625,18540627,3,Unnamed,1850
18540823,UNNAMED1854235, TS, 33.0N,  55.0W,60,-999,344,1854,8,23,8/23,235,18540823,18540823,1,Unnamed,1850
18540907,UNNAMED1854250, HU, 26.4N,  76.6W,110,-999,345,1854,9,7,9/7,250,18540907,18540912,6,Unnamed,1850
18540918,UNNAMED1854261, HU, 28.2N,  93.6W,90,-999,370,1854,9,18,9/18,261,18540918,18540920,3,Unnamed,1850
18541020,UNNAMED1854293, TS, 25.0N,  67.6W,50,-999,381,1854,10,20,10/20,293,18541020,18541022,3,Unnamed,1850
18550806,UNNAMED1855218, HU, 22.2N,  98.0W,90,-999,393,1855,8,6,8/6,218,18550806,18550806,1,Unnamed,1850
18550810,UNNAMED1855222, HU, 44.0N,  42.0W,90,-999,394,1855,8,10,8/10,222,18550810,18550811,2,Unnamed,1850
18550811,UNNAMED1855223, HU, 12.5N,  83.0W,70,-999,400,1855,8,11,8/11,223,18550811,18550811,1,Unnamed,1850
18550824,UNNAMED1855236, TS, 12.0N,  55.9W,50,-999,401,1855,8,24,8/24,236,18550824,18550827,4,Unnamed,1850
18550915,UNNAMED1855258, HU, 26.7N,  89.1W,70,-999,417,1855,9,15,9/15,258,18550915,18550917,3,Unnamed,1850
18560809,UNNAMED1856221, HU, 25.0N,  83.9W,70,-999,428,1856,8,9,8/9,221,18560809,18560812,4,Unnamed,1850
18560813,UNNAMED1856225, HU, 12.1N,  56.1W,70,-999,442,1856,8,13,8/13,225,18560813,18560814,2,Unnamed,1850
18560819,UNNAMED1856231, TS, 32.5N,  75.5W,50,-999,450,1856,8,19,8/19,231,18560819,18560821,3,Unnamed,1850
18560821,UNNAMED1856233, TS, 23.0N,  82.5W,50,-999,462,1856,8,21,8/21,233,18560821,18560821,1,Unnamed,1850
18560825,UNNAMED1856237, HU, 21.0N,  69.8W,70,-999,463,1856,8,25,8/25,237,18560825,18560903,79,Unnamed,1850
18560918,UNNAMED1856261, TS, 32.0N,  48.8W,50,-999,503,1856,9,18,9/18,261,18560918,18560922,5,Unnamed,1850
18570630,UNNAMED1857181, TS, 34.0N,  74.5W,50,-999,523,1857,6,30,6/30,181,18570630,18570701,72,Unnamed,1850
18570906,UNNAMED1857249, TS, 26.5N,  73.0W,40,-999,531,1857,9,6,9/6,249,18570906,18570918,13,Unnamed,1850
18570922,UNNAMED1857265, HU, 32.5N,  73.5W,70,-999,578,1857,9,22,9/22,265,18570922,18570926,5,Unnamed,1850
18570924,UNNAMED1857267, TS, 16.0N,  54.7W,50,-999,598,1857,9,24,9/24,267,18570924,18570930,7,Unnamed,1850
18580612,UNNAMED1858163, HU, 19.0N,  85.5W,70,-999,627,1858,6,12,6/12,163,18580612,18580612,1,Unnamed,1850
18580805,UNNAMED1858217, HU, 45.0N,  40.0W,70,-999,628,1858,8,5,8/5,217,18580805,18580805,1,Unnamed,1850
18580914,UNNAMED1858257, TS, 25.2N,  84.6W,60,-999,629,1858,9,14,9/14,257,18580914,18580917,4,Unnamed,1850
18580917,UNNAMED1858260, HU, 18.4N,  41.4W,80,-999,645,1858,9,17,9/17,260,18580917,18580924,8,Unnamed,1850
18580922,UNNAMED1858265, TS, 21.9N,  74.0W,50,-999,677,1858,9,22,9/22,265,18580922,18580925,4,Unnamed,1850
18581021,UNNAMED1858294, TS, 21.5N,  73.6W,50,-999,691,1858,10,21,10/21,294,18581021,18581026,6,Unnamed,1850
18590701,UNNAMED1859182, HU, 21.5N,  97.5W,90,-999,713,1859,7,1,7/1,182,18590701,18590701,1,Unnamed,1850
18590817,UNNAMED1859229, HU, 38.5N,  67.0W,90,-999,714,1859,8,17,8/17,229,18590817,18590819,3,Unnamed,1850
