YY-MM-DD,UNIQUE STORM NAME,UTC (HOURS),RECORD IDENTIFIER,STATUS OF SYSTEM,LATITUDE,LONGITUDE,WIND SPEED,PRESSURE,SR,YEAR,MONTH,DATE,DDMM,JULIAN,START DATE,END DATE,TOTAL
19500821,CHARLIE1950233,1200,61, TS, 11.1N,  26.4W,35,-999,21991,1950,8,21,21-Aug,233,19500821,19500905,85
19510812,CHARLIE1951224,0,52, TD, 12.1N,  44.1W,30,-999,22512,1951,8,12,12-Aug,224,19510812,19510823,12
19520924,CHARLIE1952267,0,29, TD, 20.0N,  69.2W,30,-999,22987,1952,9,24,24-Sep,267,19520924,19521001,78
19530828,CAROL1953240,600,52, TD, 14.0N,  20.5W,25,-999,23242,1953,8,28,28-Aug,240,19530828,19530909,82
19540825,CAROL1954237,1200,30, TD, 23.8N,  75.0W,30,-999,23621,1954,8,25,25-Aug,237,19540825,19540901,77
19550803,CONNIE1955215,600,49, TD, 15.3N,  40.0W,30,-999,23932,1955,8,3,3-Aug,215,19550803,19550815,13
19560907,CARLA1956250,0,38, TD, 24.8N,  75.0W,30,-999,24449,1956,9,7,7-Sep,250,19560907,19560916,10
19570902,CARRIE1957245,600,95, TD, 13.0N,  21.3W,25,-999,24715,1957,9,2,2-Sep,245,19570902,19570925,24
19580811,CLEO1958223,600,47, TD, 12.0N,  20.5W,25,-999,24931,1958,8,11,11-Aug,223,19580811,19580822,12
19590704,CINDY1959185,1200,35, TD, 31.5N,  79.0W,25,-999,25316,1959,7,4,4-Jul,185,19590704,19590712,9
19600817,CLEO1960229,1800,14, TD, 26.0N,  74.7W,25,-999,25717,1960,8,17,17-Aug,229,19600817,19600821,5
19610903,CARLA1961246,1200,60, TD, 12.5N,  77.0W,25,-999,25964,1961,9,3,3-Sep,246,19610903,19610918,16
19620912,CELIA1962255,0,39, TS, 15.9N,  45.9W,35,-999,26377,1962,9,12,12-Sep,255,19620912,19620921,10
19630916,CINDY1963259,1200,16, TS, 26.7N,  93.7W,40,-999,26729,1963,9,16,16-Sep,259,19630916,19630920,5
19640820,CLEO1964232,1800,92, TS, 13.1N,  44.3W,40,1003,27073,1964,8,20,20-Aug,232,19640820,19640911,92
19650916,CAROL1965259,600,70, TD, 13.3N,  20.1W,25,-999,27604,1965,9,16,16-Sep,259,19650916,19651003,88
19660713,CELIA1966194,1200,36, TD, 19.1N,  59.5W,25,-999,27868,1966,7,13,13-Jul,194,19660713,19660722,10
19670905,CHLOE1967248,0,68, TD, 15.4N,  20.3W,30,-999,28370,1967,9,5,5-Sep,248,19670905,19670921,17
19680622,CANDY1968173,1800,15, TD, 20.0N,  96.0W,25,-999,28877,1968,6,22,22-Jun,173,19680622,19680626,5
19690814,CAMILLE1969226,0,37, TD, 18.3N,  79.7W,30,-999,29306,1969,8,14,14-Aug,226,19690814,19690822,9
19700731,CELIA1970212,0,24, TD, 18.5N,  82.5W,25,1008,29918,1970,7,31,31-Jul,212,19700731,19700805,75
19710818,CHLOE1971230,1200,29, TD, 13.0N,  52.5W,30,1007,30400,1971,8,18,18-Aug,230,19710818,19710825,8
19720829,CARRIE1972241,1200,29, TD, 29.0N,  78.5W,30,1012,31081,1972,8,29,29-Aug,241,19720829,19720905,77
19720919,CHARLIE1972262,1200,11, SD, 37.5N,  59.5W,25,-999,31158,1972,9,19,19-Sep,262,19720919,19720922,4
19730825,CHRISTINE1973237,1200,42, TD, 11.0N,  14.0W,30,-999,31380,1973,8,25,25-Aug,237,19730825,19730904,80
19740829,CARMEN1974241,600,49, TD, 16.8N,  55.8W,30,1011,31745,1974,8,29,29-Aug,241,19740829,19740910,82
19750824,CAROLINE1975236,1200,33, TD, 22.4N,  69.8W,25,1011,32104,1975,8,24,24-Aug,236,19750824,19750901,78
19760818,CANDICE1976230,1200,25, TD, 31.7N,  68.2W,30,1007,32588,1976,8,18,18-Aug,230,19760818,19760824,7
19770905,CLARA1977248,1200,27, TD, 32.8N,  80.0W,20,1015,32986,1977,9,5,5-Sep,248,19770905,19770912,8
19780807,CORA1978219,1200,19, TD, 13.0N,  35.0W,25,1010,33139,1978,8,7,7-Aug,219,19780807,19780812,6
19790715,CLAUDETTE1979196,1200,57, TD, 12.5N,  46.3W,20,1014,33643,1979,7,15,15-Jul,196,19790715,19790729,15
19800820,CHARLEY1980232,1200,22, SD, 36.0N,  73.0W,25,1010,34225,1980,8,20,20-Aug,232,19800820,19800825,6
19810802,CINDY1981214,1800,12, SD, 36.1N,  67.8W,30,1010,34614,1981,8,2,2-Aug,214,19810802,19810805,4
19820909,CHRIS1982252,0,16, SD, 26.2N,  91.0W,25,1010,35102,1982,9,9,9-Sep,252,19820909,19820912,4
19830910,CHANTAL1983253,1200,20, TD, 30.2N,  64.4W,25,1010,35272,1983,9,10,10-Sep,253,19830910,19830915,6
19840831,CESAR1984243,0,12, SD, 36.6N,  66.9W,25,1008,35418,1984,8,31,31-Aug,243,19840831,19840902,72
19850809,CLAUDETTE1985221,1800,30, SD, 31.5N,  80.5W,25,1013,35782,1985,8,9,9-Aug,221,19850809,19850817,9
19860813,CHARLEY1986225,1200,68, SD, 30.1N,  84.0W,10,1009,36183,1986,8,13,13-Aug,225,19860813,19860830,18
19870905,CINDY1987248,1200,22, TD, 15.2N,  31.3W,25,1011,36545,1987,9,5,5-Sep,248,19870905,19870910,6
19880821,CHRIS1988233,1200,39, TD, 14.9N,  43.3W,25,1009,36745,1988,8,21,21-Aug,233,19880821,19880830,10
19890730,CHANTAL1989211,1200,16, TD, 22.5N,  90.0W,20,1011,37204,1989,7,30,30-Jul,211,19890730,19890803,74
19900731,CESAR1990212,0,31, TD, 10.1N,  22.2W,25,1014,37668,1990,7,31,31-Jul,212,19900731,19900807,77
19910904,CLAUDETTE1991247,1200,43, TD, 26.7N,  55.9W,25,1014,38211,1991,9,4,4-Sep,247,19910904,19910914,11
19920921,CHARLEY1992264,1800,31, TD, 30.0N,  33.0W,25,1012,38487,1992,9,21,21-Sep,264,19920921,19920929,9
19930814,CINDY1993226,1200,12, TD, 14.1N,  59.5W,30,1012,38680,1993,8,14,14-Aug,226,19930814,19930817,4
19940816,CHRIS1994228,1200,30, TD, 11.3N,  39.4W,30,1010,38903,1994,8,16,16-Aug,228,19940816,19940823,8
19950712,CHANTAL1995193,0,41, TD, 17.1N,  54.9W,25,1012,39138,1995,7,12,12-Jul,193,19950712,19950722,11
19960724,CESAR1996205,1800,18, TD, 11.8N,  62.6W,25,1009,39919,1996,7,24,24-Jul,205,19960724,19960728,5
19970713,CLAUDETTE1997194,0,16, EX, 31.3N,  73.6W,25,1012,40428,1997,7,13,13-Jul,194,19970713,19970716,4
19980821,CHARLEY1998233,600,13, TD, 25.3N,  92.3W,25,1008,40671,1998,8,21,21-Aug,233,19980821,19980824,4
